Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Belgium,10,11598451,383,2021-08-19,1161558.0,18243845.0,2.2,0.2,0.931,5.64,,Europe,0.66,25312.0,0.045,0.021791421521783674,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,11,398845,17,2022-01-13,39890.0,418748.0,3.2,,0.716,1.3,90.083,North America,0.55,607.0,0.0,0.01521684632740035,2.0,489000.0,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bermuda,12,62237,1246,2021-12-30,6420.0,1621.0,11.5,,,,,North America,,110.0,0.0,0.017133956386292833,2.0,,,,,,,,,
Bosnia and Herzegovina,13,3277152,64,2022-01-21,329569.0,,,0.2,0.78,3.5,97.164,Europe,0.58,13984.0,,0.042431175262236435,4.0,1053000.0,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Botswana,14,2359585,4,2022-01-13,237678.0,2031665.0,1.1,,0.735,1.8,,Africa,0.17,2514.0,0.0,0.010577335723121197,1.0,14000.0,2020-03-31,-22.328474,24.684866,2020-04-02,Partial,18615.79334,7.17,88.5
Brazil,15,212821986,25,2021-09-22,21300996.0,57303974.0,,3.4,0.765,2.2,,South America,0.68,592617.0,,0.027821093436194252,2.0,6621000.0,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
British Virgin Islands,16,30266,202,2021-12-27,3071.0,96630.0,,,,,,North America,,39.0,,0.012699446434386193,,,,,,,,,,
Brunei,17,438202,83,2022-02-23,44334.0,,,,0.838,2.7,,Asia,0.59,112.0,,0.0025262778003338295,2.0,14000.0,2020-03-10,4.535277,114.727669,,,,,
Bulgaria,18,6939018,64,2021-11-30,695057.0,6576558.0,3.5,1.5,0.816,7.454,,Europe,0.64,28453.0,0.0364,0.040936210987012576,3.0,9273000.0,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Canada,19,37799407,4,2022-05-04,3787349.0,61107311.0,6.3,0.5,0.929,2.5,,North America,0.76,39529.0,0.0756,0.010437115776761001,,21134000.0,2020-01-27,56.130366,-106.346771,2020-03-16,Partial,48130.25597,8.65,
Cayman Islands,20,65854,274,2021-11-26,6599.0,1897.0,2.9,,,,,North America,,4.0,0.0,0.0006061524473405061,2.0,,,,,,,72607.57077,,
Chile,21,19144605,26,2022-01-20,1916522.0,28518334.0,3.2,1.3,0.851,2.11,,South America,0.61,39456.0,0.0483,0.02058729302350821,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,22,50976248,46,2021-12-14,5097680.0,28673869.0,2.4,4.5,0.767,1.71,65.386,South America,0.47,129205.0,0.015,0.025345843599441316,2.0,3904000.0,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Cook Islands,23,17567,73,2022-03-30,1883.0,,,,,,,Oceania,,1.0,,0.0005310674455655868,2.0,,,,,,,,,
Costa Rica,24,5102158,100,2021-09-20,510653.0,1834076.0,2.3,1.3,0.81,1.13,83.841,North America,0.01,6056.0,0.018,0.011859325216928129,2.0,3017000.0,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,25,4100719,73,2021-10-06,411917.0,2874479.0,1.9,0.7,0.851,5.54,,Europe,0.58,8722.0,0.1055,0.0211741685825057,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cyprus,26,1208886,131,2021-10-08,120992.0,13687132.0,17.7,,0.887,3.4,,Europe,0.47,558.0,0.0019,0.0046118751653001855,3.0,3939000.0,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,27,5795780,137,2021-12-16,589274.0,50840344.0,2.9,0.2,0.94,2.5,,Europe,0.63,3051.0,0.0365,0.005177557469021202,3.0,12749000.0,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Dominica,28,72017,96,2022-01-07,7241.0,183922.0,2.6,,0.742,3.8,,North America,0.44,47.0,0.0,0.006490816185609722,2.0,63000.0,2020-03-23,15.414999,-61.370976,2020-03-19,Partial,11129.86119,,
Estonia,29,1326693,31,2021-07-27,132717.0,1610138.0,1.6,0.5,0.892,4.69,,Europe,0.39,1271.0,0.0143,0.009576768612913192,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Falkland Islands,30,3497,0,2022-05-06,392.0,,,,,,,South America,,,,,,,,,,,,,,
Finland,31,5542237,18,2022-02-10,559587.0,9707937.0,2.0,,0.938,3.28,,Europe,0.51,2141.0,0.273,0.003826035987254886,3.0,3224000.0,2020-01-30,61.92411,25.748151,2020-03-27,Full,48416.93603,8.53,
France,32,65298930,119,2021-08-17,6548678.0,117769831.0,3.2,,0.901,5.98,,Europe,0.64,112948.0,0.009,0.01724745055414238,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
French Polynesia,33,281191,77,2021-08-13,28330.0,,,,,,,Oceania,,188.0,,0.006636074832333216,2.0,,,,,,,,,
Georgia,34,3987805,57,2021-07-24,400698.0,4966789.0,1.1,4.2,0.812,2.6,,Asia,-0.09,5665.0,0.0492,0.014137829487544235,3.0,4757000.0,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,35,83830972,240,2022-01-21,8460546.0,99512461.0,1.8,,0.947,8.0,,Europe,0.69,116485.0,0.284,0.013768023954955152,3.0,38881000.0,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Gibraltar,36,33689,3369,2021-01-13,3431.0,516965.0,6.8,,,,,Europe,,20.0,0.0574,0.005829204313611192,3.0,,,,,,,,,
Greece,37,10413936,81,2021-12-21,1044301.0,43599189.0,9.7,1.5,0.888,4.21,,Europe,0.7,20055.0,0.013,0.019204233262249102,3.0,30123000.0,2020-02-27,39.074208,21.824312,2020-03-18,Full,29592.15242,7.33,97.7
Greenland,38,56787,0,2022-01-11,5996.0,,,,,,,North America,,2.0,,0.000333555703802535,1.0,,,,,,,,,
Grenada,39,112614,331,2022-01-23,11344.0,144147.0,3.7,,0.779,3.7,,North America,0.13,205.0,0.0091,0.018071227080394922,2.0,185000.0,2020-03-23,12.262776,-61.604171,2020-03-25,Full,15557.54504,,
Hong Kong,40,7507523,7140,2022-03-09,770407.0,45175438.0,4.3,,0.949,,,Asia,,2869.0,0.0038,0.003724005623001868,2.0,,,,,,,,8.81,
Hungary,41,9655983,107,2021-11-16,966167.0,7425621.0,2.4,0.5,0.854,7.02,,Europe,0.38,32336.0,0.0,0.03346833414927233,3.0,17552000.0,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Iceland,42,341628,3,2022-01-06,35239.0,879820.0,,0.2,0.949,2.91,,Europe,0.43,39.0,,0.0011067283407588183,3.0,2343800.0,2020-02-29,64.963051,-19.020835,2020-03-16,Full,57303.06078,8.41,
Ireland,43,4947267,72,2021-11-14,498448.0,8502239.0,2.0,0.2,0.955,2.96,,Europe,0.59,5566.0,0.11,0.011166661316727122,3.0,10926000.0,2020-03-01,53.41291,-8.24389,2020-03-12,Full,83203.39468,8.52,
Isle of Man,44,85112,149,2021-10-17,8578.0,,,,,,,Europe,,56.0,,0.006528328281650735,3.0,,,,,,,,,
Israel,45,8678517,400,2021-07-29,869063.0,18412998.0,3.0,0.5,0.919,2.99,,Asia,0.54,6466.0,0.006,0.007440197085826919,3.0,4121000.0,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,46,60446035,206,2021-12-31,6125683.0,140137606.0,4.9,2.0,0.892,3.18,,Europe,0.68,137402.0,0.0935,0.022430478364616646,3.0,61567200.0,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
Jordan,47,10220604,115,2021-12-15,1024032.0,12891182.0,1.7,0.1,0.729,1.4,,Asia,0.03,12078.0,0.0,0.011794553295209525,1.0,4150000.0,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kuwait,48,4281320,240,2022-01-08,430920.0,6166679.0,5.2,,0.806,2.0,,Asia,0.38,2471.0,0.0,0.005734243014944769,1.0,8508000.0,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Latvia,49,1882408,30,2021-10-19,188722.0,4652299.0,2.1,0.7,0.866,5.57,,Europe,0.57,2920.0,0.0635,0.01547249393287481,3.0,1946000.0,2020-03-03,56.879635,24.603189,2020-03-13,Full,30304.8525,8.29,99.9
Lebanon,50,6819976,667,2021-12-08,683326.0,,,,0.744,2.9,,Asia,0.56,8804.0,,0.012884040706778316,1.0,1964000.0,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
Liechtenstein,51,38147,238,2021-11-11,3841.0,74734.0,2.9,,0.919,2.397,,Europe,0.64,61.0,0.141,0.015881280916428014,4.0,85300.0,2020-03-05,47.166,9.555373,,,,,
Lithuania,52,2715340,43,2021-05-25,271981.0,3387761.0,2.0,0.7,0.882,6.56,,Europe,0.4,4218.0,0.004,0.015508436251061655,,2825000.0,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,53,627704,242,2021-04-07,62793.0,2478729.0,2.5,0.2,0.916,4.51,,Europe,0.69,762.0,0.002,0.012135110601500167,3.0,1018000.0,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Malaysia,54,32436963,99,2022-02-21,3246779.0,49735330.0,6.4,0.1,0.81,1.9,,Asia,0.51,32390.0,0.0335,0.009976040870043818,2.0,25832000.0,2020-01-26,4.210484,101.975766,2020-03-18,Full,31782.15336,6.52,94.6
Maldives,55,542151,1802,2021-05-22,54365.0,833477.0,2.7,,0.74,,95.803,Asia,0.25,123.0,0.0,0.0022624850547227075,2.0,1484000.0,2020-03-09,3.202778,73.22068,2020-03-11,Full,15307.72194,,99.3
Malta,56,441750,1380,2021-12-24,44761.0,1498873.0,4.0,0.2,0.895,4.485,,Europe,0.61,473.0,0.0468,0.010567234869640982,3.0,2599000.0,2020-03-08,35.937496,14.375416,2020-03-12,Full,42581.09786,8.37,94.1
Mauritius,57,1272140,626,2022-02-13,129445.0,359627.0,3.4,0.5,0.804,3.4,,Africa,0.22,841.0,0.0,0.006496967824172428,2.0,1399000.0,2020-03-19,-20.348404,57.552152,2020-03-17,Partial,23750.98804,7.52,90.6
Moldova,58,4032294,123,2022-01-21,404556.0,,4.2,0.2,0.75,5.8,86.979,Europe,0.35,10501.0,0.2114,0.025956851461849534,3.0,160000.0,2020-03-09,47.411631,28.369885,2020-03-11,Full,7271.641919,6.93,99.4
Monaco,59,39290,26337,2021-12-07,3942.0,,,,,13.8,,Europe,0.65,36.0,,0.0091324200913242,,347000.0,2020-03-01,43.750298,7.412841,2020-03-17,Full,,,
Mongolia,60,3287242,2,2021-09-23,333994.0,3943973.0,1.0,0.5,0.737,7.0,71.18,Asia,0.01,1159.0,0.0,0.003470122217764391,1.0,529000.0,2020-03-11,46.862496,103.846656,2020-03-10,Full,13799.90485,7.61,98.4
Montenegro,61,628080,47,2021-02-03,63118.0,,,1.0,0.829,3.861,,Europe,0.56,825.0,,0.01307075636110143,,2077000.0,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Montserrat,62,4993,50,2022-05-10,653.0,,,,,,,North America,,2.0,,0.0030627871362940277,2.0,,,,,,,,,
Netherlands,63,17141544,508,2021-07-09,1721753.0,14719447.0,1.4,,0.944,3.32,,Europe,0.36,17798.0,0.073,0.01033713895082512,3.0,18780000.0,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
New Caledonia,64,285972,16,2022-02-07,28628.0,,,,,,,Oceania,,284.0,,0.009920357691770295,2.0,,,,,,,,,
New Zealand,65,4829021,18,2022-03-19,483222.0,6891083.0,,,0.931,2.61,,Oceania,0.84,151.0,,0.00031248577258485746,3.0,3686000.0,2020-02-29,-40.900557,174.885971,2020-03-25,Full,41005.42087,8.88,
