Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Russia,83,145945524,9,2020-10-23,1471000.0,56794639.0,10.3,0.1,0.824,8.05,,Europe,0.88,25353.0,0.025,0.01723521414004079,4.0,24551000,2020-02-01,61.52401,105.318756,2020-03-27,Full,,6.34,99.7
Saint Lucia,84,183774,301,2021-02-08,2027.0,,,,0.759,1.3,87.202,North America,0.84,19.0,,0.009373458312777503,2.0,14000,2020-03-15,13.909444,-60.978893,2020-03-20,Full,,,
San Marino,85,33944,566,2020-04-10,344.0,,,,,3.8,,Europe,0.05,34.0,,0.09883720930232558,3.0,84000,2020-02-28,43.94236,12.457777,2020-03-09,Full,63037.12578,,
Saudi Arabia,86,34905942,16,2020-11-05,349386.0,8638296.0,55.9,,0.854,2.7,,Asia,0.79,5489.0,0.003,0.015710417704201084,1.0,15334000,2020-03-03,23.885942,45.079162,2020-03-15,Full,55335.67959,5.42,94.7
Serbia,87,8731081,100,2020-11-16,87381.0,1519315.0,2.7,,0.806,5.609,97.719,Europe,0.58,1030.0,0.012,0.011787459516370835,,1711000,2020-03-07,44.016521,21.005859,2020-03-15,Full,17434.91613,7.3,98.1
Seychelles,88,98453,214,2021-01-23,1033.0,,,1.1,0.796,3.6,,Africa,1.0,3.0,,0.002904162633107454,2.0,362000,2020-03-15,-4.679574,55.491977,2020-04-09,Full,30557.07572,7.16,95.2
Singapore,89,5858322,8358,2020-12-31,58599.0,5617894.0,661.4,,0.938,2.4,,Asia,0.63,29.0,0.0,0.0004948889912797146,2.0,14673000,2020-01-24,1.352083,103.819836,2020-03-26,Partial,101531.6302,8.11,96.8
Slovakia,90,5460109,114,2020-10-30,55091.0,836955.0,7.5,0.7,0.86,5.82,,Europe,0.66,212.0,0.002,0.0038481784683523624,3.0,14000,2020-03-07,48.669026,19.699024,2020-03-09,Full,,,99.6
Slovenia,91,2078989,103,2020-10-24,21274.0,326789.0,3.1,,0.917,4.5,,Europe,0.56,235.0,0.027,0.011046347654413839,3.0,4425000,2020-03-06,46.151241,14.995463,2020-03-11,Full,38048.78466,7.97,99.7
South Africa,92,59436725,49,2020-08-19,596060.0,3455671.0,3.1,18.9,0.709,2.32,43.993,Africa,0.52,12423.0,0.038,0.02084186155756132,1.0,10472000,2020-03-06,-30.559482,22.937506,2020-03-26,Full,13686.88236,7.08,94.3
Spain,93,46757980,94,2020-09-01,470973.0,7042795.0,6.4,1.0,0.904,2.97,,Europe,0.67,29152.0,0.038,0.061897391145564605,3.0,82773000,2020-02-02,40.463667,-3.74922,2020-03-14,Full,39715.43906,8.12,98.1
Sri Lanka,94,21428970,341,2021-06-10,216134.0,3690770.0,6.8,0.7,0.782,3.6,,Asia,0.9,1910.0,0.112,0.008837110311195832,2.0,2334000,2020-01-28,7.873054,80.771797,2020-03-21,Full,13473.66309,6.41,92.6
Palestine,95,5121112,847,2020-10-27,51528.0,,3.2,1.0,0.708,,,Asia,0.45,458.0,0.04,0.008888371370905139,3.0,606000,2020-03-06,31.9466,35.3027,2020-04-09,Full,,,
Suriname,96,587541,4,2020-12-25,5880.0,,,,0.738,3.1,67.779,South America,0.55,119.0,,0.02023809523809524,2.0,14000,2020-03-15,3.919305,-56.027783,,,15510.46464,7.48,95.6
Sweden,97,10110233,25,2020-10-14,101332.0,,4.0,0.5,0.945,2.22,,Europe,0.44,5907.0,0.006,0.05829353017802866,3.0,7440000,2020-02-01,60.128161,18.643501,,,53208.88436,8.5,
Switzerland,98,8665615,219,2020-10-21,91763.0,1335607.0,3.7,,0.955,4.53,,Europe,0.53,2039.0,0.008,0.022220284864269912,3.0,10362000,2020-02-26,46.818188,8.227512,2020-03-18,Full,68060.94105,8.82,
Trinidad and Tobago,99,1400283,273,2021-05-12,14417.0,148770.0,2.5,,0.796,3.0,89.443,North America,0.79,235.0,0.134,0.016300201151418465,,375000,2020-03-15,10.691803,-61.222503,2020-03-13,Full,32014.78313,6.62,99
Tunisia,100,11839918,76,2020-12-19,119151.0,1109826.0,2.9,2.0,0.74,2.3,78.687,Africa,0.79,4126.0,0.192,0.03462832875930542,3.0,8299000,2020-03-05,33.886917,9.537499,2020-03-20,Full,12502.82019,6.08,81.8
Turkey,101,84495243,110,2020-12-07,860432.0,19888747.0,5.2,0.2,0.82,2.81,,Asia,0.31,15103.0,0.025,0.017552810681146214,3.0,45768000,2020-03-12,38.963745,35.243322,2020-03-23,Full,28068.85941,6.21,95
Ukraine,102,43686577,75,2020-11-05,443630.0,3521175.0,2.0,0.1,0.779,8.8,,Europe,0.63,8148.0,0.045,0.01836665689876699,3.0,14104000,2020-03-04,48.379433,31.16558,2020-03-17,Full,9249.462135,6.26,99.8
United Arab Emirates,103,9910892,118,2020-10-05,99733.0,10217534.0,42.1,,0.89,1.2,,Asia,0.87,429.0,0.006,0.004301484964856166,1.0,21286000,2020-01-30,23.424076,53.847818,2020-03-24,Full,75075.25741,6.13,93.8
United Kingdom,104,67948282,281,2020-10-16,692114.0,26917855.0,7.8,0.2,0.932,2.54,,Europe,0.68,43519.0,0.002,0.06287836974833626,3.0,36316000,2020-02-01,55.378051,-3.435973,2020-03-23,Full,45973.5735,8.47,
United States,105,331341050,36,2020-07-13,3370303.0,48059721.0,6.8,1.2,0.926,2.77,,North America,0.71,136194.0,0.018,0.04041001654747362,3.0,79745920,2020-03-10,37.09024,-95.712891,2020-03-23,Partial,62794.58565,8.46,
Uruguay,106,3475842,20,2021-01-21,34992.0,779127.0,3.7,0.1,0.817,2.8,,South America,0.8,347.0,0.081,0.00991655235482396,3.0,3469000,2020-03-15,-32.522779,-55.765835,2020-03-16,Full,23572.17746,7.74,98.4
